Date,UK EQUITY,EUR EQUITY,NA EQUITY,ASIA EQUITY,JPN EQUITY,EM EQUITY,WORLD EQUITY EX UK,ABSOLUTE RETURN,PROPERTY,GILTS,GBP CREDIT,LIBOR,LIBOR PLUS 3,GLOBAL AGG,GLOBAL IG,EM DEBT,GLOBAL HY,GBP NON-GILTS BBB 1-5YRS
30/11/2009,0.029166179,0.029042855,0.060591065,0.027955697,-0.018640586,0.044254595,0.04229054,0.019157999,0.029645837,0.009094543,0.009954646,0.0005099,0.0030099,0.027630562,0.023291802,0.013023374,0.011488927,0.009945088
31/12/2009,0.042500648,0.025330436,0.035341231,0.049885033,0.030077081,0.052722406,0.031151424,-0.006063687,0.035728637,-0.027367241,-0.009642058,0.000504167,0.003004167,-0.02378211,-0.010256391,0.018513226,0.022352674,0.004194798
31/01/2010,-0.036376412,-0.054087087,-0.030988302,-0.057315967,0.016807881,-0.049674269,-0.033514095,0.010754599,0.015807917,0.00872347,0.030095555,0.000513542,0.003013542,0.011436757,0.015269831,0.012143043,0.013884616,0.018611503
28/02/2010,0.033174151,0.022151407,0.081270461,0.059995031,0.06003507,0.052180677,0.065475069,0.015095252,0.018565277,0.004200436,0.001193997,0.000535417,0.003035417,0.051119147,0.04485469,0.063743252,-0.002451145,0.010382693
31/03/2010,0.06539588,0.069486482,0.062275767,0.073387377,0.043107364,0.079449531,0.06094604,0.017462704,0.021489983,0.007528152,0.021148351,0.000539325,0.003039325,-0.005573987,0.005372117,0.025996873,0.033056088,0.016201506
30/04/2010,-0.013985947,-0.041314132,0.00490834,0.00569446,-0.004000328,0.003582517,-0.006347398,0.009179548,0.014250666,0.008576238,0.011757536,0.000564325,0.003064325,-0.005891251,0.000170927,0.001624036,0.018599057,0.005053108
31/05/2010,-0.064274405,-0.098766967,-0.03380224,-0.067343595,-0.032372526,-0.045821023,-0.052235991,0.007187955,0.011152177,0.026256148,-0.007784187,0.000592192,0.003092192,0.036636759,0.016497968,0.037244375,-0.050805624,-0.002214536
30/06/2010,-0.047352673,-0.034612868,-0.08515516,-0.024744478,-0.046336414,-0.038484657,-0.066820318,0.003653988,0.010335733,0.017787455,0.008055051,0.000608592,0.003108592,-0.014588591,-0.012862768,-0.012190293,0.01137958,0.004034856
31/07/2010,0.066675293,0.061374467,0.019913299,0.020697311,-0.013981272,0.029179961,0.02549362,0.01103938,0.00781916,0.004266413,0.016809042,0.000620967,0.003120967,-0.015193103,-0.007920022,-0.007422941,0.045334809,0.009223232
31/08/2010,-0.002248238,-0.024913315,-0.027467878,0.002150943,-0.003716055,0.001163044,-0.018726905,0.036193987,0.006765171,0.036860807,0.031609802,0.000604558,0.003104558,0.03682857,0.035261897,0.045960998,-0.000915447,0.016950111
30/09/2010,0.063355752,0.087562539,0.058834897,0.084412629,0.013117141,0.078177305,0.06251754,-0.001362295,0.007259533,-0.004560376,0.001690546,0.000610208,0.003110208,-0.002376047,0.00335553,-0.008439861,0.041192964,0.008887765
31/10/2010,0.025019807,0.025729566,0.021705522,0.007952017,-0.004652134,0.009502152,0.017484725,-0.006839452,0.006489665,-0.006336929,0.008062508,0.0006175,0.0031175,-0.00664755,-0.008010261,-0.001152397,0.026253318,0.008470607
30/11/2010,-0.022820849,-0.064067818,0.024486642,0.005241325,0.049373083,0.000121451,0.007073226,-0.002596016,0.006724989,-0.007546803,-0.021954425,0.000615625,0.003115625,-0.011975234,-0.007724976,-0.004830856,-0.027631075,-0.02528685
31/12/2010,0.068972895,0.086694321,0.058409927,0.064429436,0.077793482,0.067272778,0.069436597,0.00045861,0.008568322,-0.008984586,-0.006210827,0.00063125,0.00313125,0.010236427,0.007490461,-0.003899453,0.022163057,0.002594924
31/01/2011,-0.00529623,0.020084706,-0.002612637,-0.041761426,-0.031009509,-0.056409621,-0.006001989,-0.003828195,0.00660539,-0.015605357,-0.000383534,0.0006474,0.0031474,-0.02603351,-0.021214076,-0.033388489,0.025157928,0.001939621
28/02/2011,0.023696394,0.014890501,0.018911659,-0.033058588,0.032286878,-0.023601687,0.018722796,0.001073373,0.007112539,0.005846005,0.010982197,0.00066875,0.00316875,-0.00864838,-0.001792481,-0.010540119,0.015632178,0.009509266
31/03/2011,-0.008143838,0.012547868,0.013292657,0.059825475,-0.090407,0.066910211,0.000887046,0.003060446,0.008952818,0.002929661,0.007580861,0.000681775,0.003181775,0.016727129,0.016592157,0.024139103,0.00673518,0.00819661
30/04/2011,0.030635901,0.032529076,-0.012801216,0.002194211,-0.040027793,-0.010541397,-0.001872629,0.002898774,0.006706799,0.01795343,0.019822952,0.0006849,0.0031849,-0.010524322,-0.005486519,-0.024637856,0.02319058,0.013749605
31/05/2011,-0.007190441,-0.037652715,-0.001693758,-0.011137761,-0.000780874,-0.0147101,-0.008972104,0.006226765,0.00691227,0.0153735,0.010217772,0.000688542,0.003188542,0.016589135,0.01401322,0.030249969,-0.00050981,0.006742105
30/06/2011,-0.004513042,0.008202655,0.0052359,-0.00113428,0.044947726,0.003787257,0.006775766,-0.024367155,0.007014795,0.000135265,-0.005496205,0.000688025,0.003188025,0.023847693,0.017226344,0.033729107,-0.010287106,-0.000516372
31/07/2011,-0.022271891,-0.072536611,-0.044266332,-0.022193735,0.011051444,-0.029958546,-0.043620937,0.013865574,0.006038476,0.037103365,0.023146008,0.000694008,0.003194008,-0.003994247,-0.001165087,-0.00325175,0.008649214,0.003588264
